Oslo;M+S;CO0345467;20;1773;Continental;VikingContact 8;195;65;15;EU:B-D-69dB(A);95;T;20
Jæren;M+S;FA351476;5;1944;Falken;Winterpeak F-Snow 1;195;55;16;EU:C-D-71dB(B);91;T;20
Kristiansand;M+S;SV3220011507;20;2155;Sailun;Ice Blazer Arctic Evo;255;45;19;EU:C-E-72dB(B);104;V;20
Oslo;M+S;L-GRI9082739-21;4;4222;Gripmax;SureGrip Pro Winter;315;35;21;EU:C-A-74dB(B);111;V;20
Kristiansand;M+S Pigg;GO530773;3;1414;Goodyear;Ultragrip Ice Arctic;175;65;14;EU:;86;T;20
Trondheim;Sommerdekk;MI764071;6;4159;Michelin;Pilot Sport 4 S;235;35;20;EU:D-A-71dB(B);92;Y;20
Oslo;Alufelger;MAKF1120XMGB35IZX;2;5560;MAK;X-Mode 11";5;120;20;Gloss Black (995 Kg);ET35;74,1;0
Bergen;M+S Pigg;SA527862;7;1088;Sava;Eskimo Stud Ms;185;60;15;EU:;88;T;20
Tønsberg;M+S Pigg;LL221021985;13;1588;Linglong;G-M W G VAN 2;185;80;14;(108 pigger);104;N;20
Oslo;Alufelger;MAKF1020RUGB40IZX;2;6035;MAK;Rapp 10";5;120;20;Gloss Black (1050 Kg);ET40;74,1;0
Tønsberg;Alufelger;MAKF8080AF6GB30VU;2;4460;MAK;Safari6 8";6;139;18;Gloss Black (1215 Kg) NORA00801;ET30;100,1;0
Kristiansand;M+S;SV3220015168;11;1522;Sailun;Commercio Ice UP;195;60;16;EU:D-C-72dB(B);99;S;20
Jæren;M+S Pigg;MI919902;2;3232;Michelin;Agilis X-Ice North;215;60;17;EU:;109;T;20
Kristiansand;Sommerdekk;SV3220006747;1;2677;Sailun;Atrezzo ZSR SUV;285;50;20;EU:B-A-72dB(A);116;V;20
Kristiansand;Sommerdekk;SV3220010793;8;1211;Sailun;Atrezzo Eco;205;70;14;EU:C-B-71dB(B);95;H;20
Tønsberg;Sommerdekk;WL6938112636722;20;1833;Westlake;ZuperAce Z-007;235;50;19;EU:C-A-71dB(B);99;W;20
Jæren;Sommerdekk;CO0451726;4;3491;Continental;VanContact Eco;235;60;17;EU:A-A-72dB(B);117;R;20
Tønsberg;Sommerdekk;WL6938112636845;8;2100;Westlake;ZuperAce Z-007;245;50;19;EU:C-A-72dB(B);105;W;20
